Departamento,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Amazonas , 35.9, 36.7, 37.3, 36.5, 36.3, 36.7, 36.5, 37.3, 38.6, 39.6, 39.5
Áncash, 92.0, 93.4, 92.6, 91.0, 88.2, 87.3, 84.5, 83.5, 83.5, 83.0, 81.8
Apurímac, 50.0, 51.2, 51.2, 49.4, 48.0, 45.4, 43.9, 42.9, 43.1, 42.6, 41.5
Arequipa, 74.8, 74.3, 72.2, 70.6, 68.2, 65.7, 65.5, 66.2, 67.5, 69.3, 70.8
Ayacucho, 57.9, 61.2, 61.3, 61.4, 52.8, 59.2, 59.9, 59.4, 60.9, 60.1, 58.3
Cajamarca, 111.2, 113.9, 116.6, 115.2, 107.9, 113.5, 114.0, 113.6, 116.9, 118.7, 119.3
Callao, 51.1, 50.3, 48.4, 46.3, 42.3, 45.3, 44.3, 44.9, 46.2, 48.2, 48.7
Cusco, 105.4, 108.8, 109.5, 108.3, 103.6, 106.2, 105.8, 105.9, 107.7, 106.7, 103.0
Huancavelica, 46.9, 47.7, 49.3, 46.4, 46.2, 47.0, 45.9, 45.7, 44.5, 42.8, 40.8
Huánuco, 60.9, 62.5, 63.2, 62.0, 59.6, 62.5, 61.9, 62.6, 65.0, 66.3, 65.7
Ica, 54.3, 53.6, 52.7, 51.8, 48.6, 47.9, 46.0, 46.3, 48.4, 50.0, 51.1
Junín, 98.8, 99.8, 100.0, 98.0, 91.4, 96.0, 93.4, 92.3, 93.0, 92.0, 90.0
La Libertad, 108.1, 111.9, 110.5, 109.4, 105.1, 106.5, 105.0, 108.2, 112.4, 116.6, 117.4
Lambayeque, 77.5, 76.5, 74.6, 73.2, 63.3, 67.5, 65.3, 66.5, 69.6, 70.5, 71.1
Provincia de Lima 1/, 417.4, 410.4, 397.6, 384.4, 352.2, 349.8, 342.4, 343.4, 352.6, 360.7, 360.2
Región Lima 2/, 69.1, 67.2, 66.0, 64.4, 59.1, 59.1, 57.2, 58.0, 58.7, 59.5, 60.0
Loreto, 78.0, 77.7, 74.5, 72.4, 56.5, 70.1, 67.1, 70.0, 75.2, 79.5, 83.5
Madre de Dios, 10.0, 10.0, 10.4, 10.4, 9.2, 10.6, 10.2, 10.6, 11.2, 12.0, 12.5
Moquegua, 12.1, 12.3, 12.1, 11.8, 10.9, 11.3, 11.2, 11.4, 11.7, 11.7, 11.6
Pasco, 24.9, 26.3, 26.0, 24.4, 23.5, 22.5, 20.6, 20.2, 20.2, 20.7, 20.5
Piura, 124.7, 125.6, 124.5, 123.8, 119.2, 121.0, 120.9, 122.6, 127.9, 131.3, 134.2
Puno, 117.6, 117.5, 116.1, 111.8, 95.2, 106.3, 102.0, 100.3, 99.1, 95.9, 91.0
San Martín, 63.7, 65.4, 65.0, 63.9, 60.8, 62.9, 62.6, 65.1, 68.2, 70.4, 72.6
Tacna, 20.7, 20.5, 20.3, 20.0, 19.6, 19.6, 19.5, 20.4, 21.8, 22.1, 22.1
Tumbes, 15.9, 15.6, 14.8, 15.1, 13.9, 15.1, 15.2, 14.7, 15.1, 16.6, 16.0
Ucayali, 44.6, 44.0, 42.6, 41.0, 36.6, 36.1, 35.9, 36.0, 38.0, 40.6, 42.5
