nombre,estudiantes
Universidad Nacional Mayor de San Marcos,32662
Universidad Nacional de San Cristobal de Huamanga,12210
Universidad Nacional de San Antonio Abad del Cusco,20746
Universidad Nacional de Trujillo,16363
Universidad Nacional de San Agustin de Arequipa,27991
Universidad Nacional de Ingenieria,12549
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,12122
UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,5789
Universidad Nacional de la Amazonia Peruana,8541
UNIVERSIDAD NACIONAL DEL ALTIPLANO,20774
Universidad Nacional de Piura,19175
Universidad Nacional de Cajamarca,10047
UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,21734
UNIVERSIDAD NACIONAL HERMILIO VALDIZAN DE HUaNUCO,10604
Universidad Nacional Agraria de la Selva,3354
Universidad Nacional Daniel Alcides Carrion,14792
UNIVERSIDAD NACIONAL DE EDUCACIoN ENRIQUE GUZMaN Y VALLE,7754
Universidad Nacional del Callao,16043
Universidad Nacional Jose Faustino Sanchez Carrion,14200
Universidad Nacional Pedro Ruiz Gallo,14222
UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,7248
Universidad Nacional Santiago Antunez de Mayolo,6506
Universidad Nacional de San Martin,5852
Universidad Nacional de Ucayali,6029
Universidad Nacional de Tumbes,3263
Universidad Nacional del Santa,3941
UNIVERSIDAD NACIONAL DE HUANCAVELICA,9738
UNIVERSIDAD NACIONAL AMAZoNICA DE MADRE DE DIOS,3729
UNIVERSIDAD NACIONAL TORIBIO RODRiGUEZ DE MENDOZA DE AMAZONAS,4087
UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURiMAC,3286
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONiA,1378
UNIVERSIDAD NACIONAL TECNOLoGICA DE LIMA SUR,3015
UNIVERSIDAD NACIONAL JOSe MARiA ARGUEDAS,1283
UNIVERSIDAD NACIONAL DE MOQUEGUA,1348
Universidad Nacional de Jaen,2033
Universidad Nacional de Cañete,1373
UNIVERSIDAD NACIONAL AUToNOMA DE CHOTA,1681
UNIVERSIDAD NACIONAL DE BARRANCA,1895
Universidad Nacional de Frontera,1169
Universidad Nacional Autonoma de Alto Amazonas,134
Universidad Nacional Autonoma de Huanta,90
Pontificia Universidad CatOlica del PerU,25576
Universidad Peruana Cayetano Heredia,4599
Universidad CatOlica de Santa MarIa,14634
Universidad del PacIfico,4722
Universidad de Lima,20314
Universidad de San MartIn de Porres,32775
Universidad Femenina del Sagrado CorazOn,2663
UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIoN CIVIL,27783
UNIVERSIDAD DE PIURA,8362
Universidad Ricardo Palma,15386
Universidad Andina NEstor CAceres VelAsquez,34474
Universidad Peruana Los Andes,32261
Universidad Peruana UniOn,11835
Universidad Andina del Cusco,19101
Universidad TecnolOgica de los Andes,12096
Universidad Privada de Tacna,9086
Universidad Particular de Chiclayo,7228
Universidad CatOlica Los Angeles de Chimbote,43295
Universidad San Pedro,25942
UNIVERSIDAD PRIVADA ANTENOR ORREGO,25451
Universidad de HuAnuco,17107
Universidad JosE Carlos MariAtegui,12091
UNIVERSIDAD MARCELINO CHAMPAGNAT,1557
Universidad CientIfica del PerU,4665
UNIVERSIDAD CeSAR VALLEJO,108407
Universidad Privada del Norte,84226
Universidad Peruana de Ciencias Aplicadas,64787
UNIVERSIDAD SAN IGNACIO DE LOYOLA,22028
Universidad Alas Peruanas,102310
Universidad Privada Norbert Wiener,8372
Universidad CatOlica San Pablo,8320
UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SOCIEDAD ANoNIMA CERRADA,17320
Universidad TecnolOgica del PerU,45074
Universidad CientIfica del Sur,8438
UNIVERSIDAD CONTINENTAL,28270
Universidad CatOlica Santo Toribio de Mogrovejo,9389
Universidad Privada Antonio Guillermo Urrelo,4756
UNIVERSIDAD SEÑOR DE SIPaN,17919
Universidad CatOlica Sedes Sapientiae,10112
ASOCIACIoN CIVIL UNIVERSIDAD CAToLICA DE TRUJILLO BENEDICTO XVI,2011
Universidad Peruana de Ciencias e InformAtica,3617
UNIVERSIDAD PERUANA DE LAS AMeRICAS,7264
Universidad Antonio RuIz de Montoya,2097
Universidad ESAN,4781
UNIVERSIDAD PRIVADA TELESUP,27937
Universidad para el Desarrollo Andino,309
UNIVERSIDAD PRIVADA SERGIO BERNALES,1521
UNIVERSIDAD PRIVADA DE PUCALLPA,1474
GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA,549
UNIVERSIDAD AUToNOMA DE ICA,1331
Universidad Peruana SimOn Bolivar,855
Universidad Privada de Trujillo,311
UNIVERSIDAD PRIVADA SAN CARLOS SOCIEDAD ANoNIMA CERRADA,3729
Universidad Peruana del Oriente,913
Universidad de Ciencias y Humanidades,2590
Universidad Peruana de IntegraciOn Global,1638
Universidad AutOnoma del PerU,5951
Universidad Jaime Bausate y Meza,2110
UNIVERSIDAD PRIVADA JUAN MEJiA BACA SOCIEDAD ANoNIMA CERRADA,666
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERu,1453
Universidad Privada Arzobispo Loayza,1464
Universidad Le Cordon Bleu,682
UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANoNIMA CERRADA,3986
Universidad de Lambayeque,182
Universidad de Ciencias y Artes de AmErica Latina,1576
Universidad Peruana de Arte Orval,201
Universidad Ciencias de la Salud,278
Universidad Privada de la Selva Peruana,498
Universidad de Ayacucho Federico Froebel,416
Universidad Peruana de InvestigaciOn y Negocios,501
Universidad Peruana Austral del Cusco,1605
Universidad AutOnoma San Francisco,1067
Universidad San AndrEs,980
Universidad Interamericana para el Desarrollo,1287
Universidad Privada Juan Pablo II,92
Universidad Privada Leonardo Da Vinci,526
Universidad de IngenierIa y TecnologIa,1743
Universidad La Salle,1042
UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANoNIMA CERRADA,798
Universidad Privada AutOnoma del Sur,648
Universidad MarIa Auxiliadora,1216
UNIVERSIDAD POLITeCNICA AMAZoNICA,1462
Universidad Santo Domingo de GuzmAn,491
Universidad Maritima del PerU,210
Universidad Privada LIder Peruana,327
Universidad Privada SISE,1562
UNIVERSIDAD GLOBAL DEL CUSCO SOCIEDAD ANoNIMA CERRADA,328
UNIVERSIDAD SEMINARIO BiBLICO ANDINO,194
Universidad Seminario EvangElico de Lima,285
