año,total,publico,privado
1994,7118789,2388152,4730637
1995,8646542,3238914,5407628
1996,9699414,3679204,6020210
1997,10862990,3930347,6932643
1998,11916852,3966841,7950011
1999,12895330,4313784,8581546
2000,13855752,4663781,9191971
2001,14487828,4667018,9820810
2002,15447737,5174792,10272945
2003,16554304,5566921,10987383
2004,18016748,6212893,11803855
2005,19148605,6671259,12477346
2006,20594313,7155354,13438959
2007,18908000,7446000,11462000
2008,20493000,8042000,12451000
2009,21585000,8191000,13394000
2010,22700000,8182000,14518000
2011,24829000,9199000,15630000
2012,27169000,10021000,17148000
2013,30179000,11124000,19055000
2014,33637000,12674000,20963000
2015,37777000,14665000,23112000
2016,41788000,16333000,25455000
2017,46107000,18530000,27577000
2018,48922000,19701000,29221000
